name,lng,lat,prim_ind,sec_ind,status,uid_name,lng_wgs84,lat_wgs84,geometry
北京大学,116.316833,39.998877,教育培训,高等院校,Matched,北京大学,116.30420708125263,39.991595084258336,"POLYGON ((116.30534997611336 39.98519860640878, 116.30672207361795 39.98523645355179, 116.30756022737081 39.9852422019728, 116.30851171740028 39.98526453929614, 116.30869610857013 39.985257815745875, 116.30982558790869 39.985272618872315, 116.30987667153887 39.985288527425084, 116.3099117891656 39.985317263818914, 116.30992774795145 39.98535883376207, 116.30989169605905 39.986361257151245, 116.3102211576016 39.98636467002522, 116.31133005561142 39.9864386772356, 116.31132842887153 39.98666667063236, 116.31131764096321 39.98675828624736, 116.31131164290727 39.98684509341504, 116.31131360427607 39.987101879027655, 116.31129403175213 39.9872267090371, 116.31111044615548 39.98721984017583, 116.31111321052413 39.987441025789266, 116.31112796916021 39.987502196600886, 116.31200438637104 39.98754540957364, 116.31302846079345 39.987601137593074, 116.31338844098659 39.98762447495214, 116.31385455169286 39.98785080492698, 116.31501987823258 39.98800543084862, 116.3153893943768 39.98830872511517, 116.31561527778518 39.98831790038951, 116.31559365015958 39.98888191560562, 116.31551374615889 39.98951563686684, 116.3155568393092 39.98957795301521, 116.31552484222773 39.99009318934612, 116.31550565426788 39.99032681453155, 116.31544811088261 39.9908772968285, 116.31531314904815 39.99139352572732, 116.3151758365143 39.99158577400235, 116.31498962870401 39.99182871097796, 116.31473995553372 39.99214656218262, 116.31430175902473 39.99211457976594, 116.31362330299154 39.99212223621705, 116.31372004188422 39.99093571367458, 116.30987593426924 39.990904287744215, 116.31000389150947 39.98904174341449, 116.30959840316902 39.98901526556053, 116.3095823916263 39.98937687807957, 116.30945448491246 39.99085363865544, 116.30944169432216 39.99100105459228, 116.31224017896967 39.99110162122741, 116.31213935298514 39.993021713622866, 116.312892838725 39.993059135163804, 116.31288243967286 39.99322994591876, 116.31285011223974 39.993236404869364, 116.3128049556148 39.9936828657698, 116.31171462915063 39.993670453615536, 116.31166189674396 39.9940641298547, 116.31162671463404 39.99453457029899, 116.31178874603017 39.99454867583719, 116.31211999266101 39.99457087274035, 116.31214632943727 39.99459762345926, 116.31215070835792 39.994682411252775, 116.31215669027334 39.99471679864167, 116.31222532087999 39.994821468386384, 116.31222210398333 39.99500546501226, 116.31379132518413 39.995087379709105, 116.31401640981984 39.99510456200633, 116.31391736633529 39.99562631901924, 116.3137608976442 39.99581779882689, 116.31361880839243 39.99591645638404, 116.31336098354551 39.99600812729086, 116.31314706801179 39.99602692004762, 116.31272722483477 39.996011691218285, 116.31192504894116 39.99598595581668, 116.31132161780597 39.995965450109644, 116.31104305022747 39.995943753734316, 116.31067986307475 39.99599700413797, 116.31061920120774 39.99598671352473, 116.31046195353825 39.99600299458923, 116.310386123114 39.996012729878295, 116.31015466161774 39.99587795057143, 116.3100804301396 39.995866083696555, 116.30950493279092 39.9957879118201, 116.30902281425568 39.99577596600376, 116.30885738139578 39.99736257677807, 116.30817830589208 39.99729477414821, 116.30746190738816 39.997224028879, 116.30680736521056 39.997151168268054, 116.30604405669278 39.99706848808184, 116.30591423306542 39.99793866613914, 116.305869487869 39.998286924763256, 116.30528677147235 39.998225524642685, 116.30430972215873 39.99802639436295, 116.30367111855595 39.99789307805479, 116.30321531022851 39.997798647825434, 116.30298860781797 39.997703032030444, 116.30263577980635 39.99755642838048, 116.30243542201427 39.997431968298905, 116.30226460046961 39.99730825852463, 116.30213848330666 39.997185274103565, 116.30191578408612 39.99694965509629, 116.30175454655344 39.99677393071381, 116.30156616624588 39.996593450996166, 116.30147117687808 39.99650801201974, 116.30134545342955 39.99641062416798, 116.30112153862379 39.99629019885533, 116.30084372588178 39.996249057505814, 116.30001346771681 39.99614482126348, 116.29949933864197 39.99607366163182, 116.29915285652672 39.996026226070065, 116.29841198106945 39.99592502800284, 116.29821238640905 39.99592214951095, 116.29757208035542 39.99590557807057, 116.29673375832861 39.995874917884045, 116.29585549685902 39.99582351377348, 116.29486063854222 39.99576428450866, 116.29476322838067 39.995746838242106, 116.29462589967008 39.9956862564341, 116.29457001351166 39.9956303465875, 116.29452530672476 39.99556641954866, 116.29450779336246 39.99510726772342, 116.29449027972143 39.99465051557199, 116.29447515226171 39.99427375594424, 116.29448635816041 39.99403694881452, 116.29448878052995 39.993803355241326, 116.29448800533328 39.99360176523085, 116.29420454374205 39.99363260722214, 116.29420133250602 39.99378300570833, 116.2938188545689 39.993828400532855, 116.29377652978624 39.99387166459767, 116.2936301838136 39.99407028382437, 116.29348423349343 39.994294701057235, 116.29344330865493 39.99431176392898, 116.29338940955951 39.994316847465925, 116.292758396664 39.99426442793603, 116.2925364108366 39.99424877168018, 116.29207127211362 39.99422668969204, 116.29164365586283 39.99422054702558, 116.29151009942774 39.994218151925935, 116.29150091681146 39.99421216625518, 116.2914943334328 39.994171178098355, 116.29147578731202 39.99399341410444, 116.29145782494689 39.99394944349652, 116.29137398608509 39.993870975227125, 116.29131809784994 39.99377906466742, 116.29129115816653 39.99367751018281, 116.29122848285434 39.993578410228906, 116.29122848511525 39.9935584110671, 116.2912474547549 39.99352338353158, 116.29126442618855 39.993504358374, 116.29127940326327 39.99346733702126, 116.29127800948012 39.993434740523085, 116.29125964707184 39.993396370221156, 116.29117940350115 39.993296697089605, 116.29112231605109 39.99321338781114, 116.29082844494626 39.99321463624892, 116.2902598616713 39.99319950177551, 116.28965692354461 39.99321721404263, 116.28966651372679 39.993154802123264, 116.28980870190033 39.992817001052416, 116.28991254218938 39.99261125234988, 116.29010583168609 39.99233737073295, 116.29035278948865 39.99237479454232, 116.29064606817222 39.99236054924788, 116.29106391801913 39.99235991228846, 116.29123261797609 39.99231965619753, 116.29177166571584 39.9920772404232, 116.29231589520488 39.991826413769786, 116.29275789956627 39.991625339873075, 116.29303819222861 39.99149371158413, 116.29332087334636 39.99140167710993, 116.29351371347826 39.9913773786441, 116.2939508883093 39.99136509874496, 116.29433256302771 39.99135370346371, 116.29450223862516 39.99135303813071, 116.29487572033915 39.9913608525852, 116.29535479583826 39.991344100328575, 116.29553744154008 39.99133781285667, 116.29578595726176 39.99133442089595, 116.29598217410194 39.99132751110849, 116.29618417747433 39.99132879138084, 116.2962799867238 39.99134823878633, 116.29650034987688 39.991368288448136, 116.29677340771312 39.99138385395211, 116.29679497156775 39.99132782200967, 116.29683717706166 39.99057298628475, 116.29687516018352 39.99007894610586, 116.29697001823006 39.989687611002616, 116.29709697216826 39.98963381096155, 116.2972335231849 39.98944000106749, 116.29755767221913 39.98946668234411, 116.29795926315748 39.98948763846673, 116.29816684247072 39.98950490463943, 116.29833530029882 39.98951823337567, 116.29888378354615 39.98954054864504, 116.2989590919587 39.98902664787507, 116.29900003970167 39.98876759213316, 116.29904999405186 39.988301929956194, 116.2990915332605 39.988103470646564, 116.29921296042599 39.987482498535314, 116.29929444334473 39.98707438241201, 116.29931362628284 39.98689195834649, 116.29937435595461 39.98644867685122, 116.29942834507253 39.98645098929285, 116.30017590234317 39.98648257317188, 116.30032439605291 39.98647433130992, 116.30034675210543 39.98645509555776, 116.30033718097536 39.9863815139791, 116.3003452076286 39.98602951420163, 116.30035958375731 39.98598149254706, 116.30036918061566 39.98584548199117, 116.3003691865126 39.985797483779116, 116.30039322270422 39.98509987041755, 116.30475516784682 39.98518221717691, 116.30534997611336 39.98519860640878))"
西湖,120.12792,30.228932,旅游景点,风景区,Matched,杭州西湖风景名胜区-九溪十八涧,120.116752075048,30.224861696630555,"POLYGON ((120.09134549079016 30.219900926087597, 120.09148648684243 30.21887699248457, 120.09175557507332 30.21792985102652, 120.0922168926102 30.21616356390148, 120.09298560856314 30.215139642474035, 120.0941130252463 30.21462773331543, 120.09512520957523 30.214013462377824, 120.09591959983159 30.213744775223866, 120.09746999019742 30.213706627180294, 120.09823884996636 30.21342519777375, 120.09913592196078 30.212785440001856, 120.10064832555862 30.21067396682879, 120.10139181277168 30.20904868416758, 120.10226345680995 30.20782023844583, 120.10313510870098 30.206898999085702, 120.10446825509234 30.20590117441573, 120.10600667337427 30.20410994174594, 120.10708364063605 30.202785726866068, 120.10763494759183 30.20229323120338, 120.10782087537685 30.201941345545958, 120.10783372595297 30.201640567531438, 120.10752611832847 30.200891646023027, 120.10745567377428 30.200238842249018, 120.10751982704525 30.19970770103324, 120.10791737184644 30.198504765650057, 120.10802641625199 30.197781657600903, 120.10888570617689 30.194620672080752, 120.1090011765185 30.193769575081213, 120.10920065920551 30.19213675995978, 120.10920687201937 30.192109164710445, 120.10921729066656 30.19209277139551, 120.10950759808696 30.19178355278857, 120.10952062060369 30.19177316084281, 120.10953584633617 30.191767369993308, 120.10837963514237 30.19101094722905, 120.10859882055722 30.19065988258105, 120.10863928809675 30.19063590606072, 120.10872584143574 30.19049276025456, 120.10898790450325 30.190092924488244, 120.10940142346465 30.189651580557342, 120.10941585082541 30.189613190541728, 120.11158829767227 30.190027317400457, 120.11171014467637 30.18965941345251, 120.11196423972687 30.18912680521959, 120.11145696860127 30.188954477687805, 120.11162369082591 30.188608201529384, 120.11178881225722 30.188251525708875, 120.11221995726589 30.188407008347927, 120.11282906917712 30.18812424004007, 120.11286192897259 30.18811586340273, 120.11290560695709 30.188121893772653, 120.11292844695878 30.188133909297342, 120.11350624854113 30.188630299339856, 120.11369417899927 30.18877282939043, 120.11372984215046 30.188796854336026, 120.11404600442216 30.189008277416328, 120.114202283934 30.1891119889583, 120.11493520865301 30.189591323399938, 120.11496646566833 30.18961134661685, 120.1161695147331 30.19011067868946, 120.11647329191484 30.19023412222331, 120.11649613269483 30.190273339225637, 120.11651255924406 30.19033175000794, 120.11650734629671 30.19036214422771, 120.11649331531656 30.190402130688877, 120.115986671392 30.19108968324651, 120.11560188707764 30.191588550947223, 120.11546078738886 30.1919148235465, 120.11536775701155 30.192481122891927, 120.11535490350009 30.192788297828287, 120.11561130552025 30.193697255112486, 120.11566256739268 30.194074876940157, 120.11557916070453 30.194567586145133, 120.11521998284776 30.195546455223024, 120.11451454539304 30.19667865880174, 120.1143093172426 30.197145681629813, 120.11418104766881 30.19746557020741, 120.1141161176302 30.19756471724302, 120.11402634549073 30.197627048096674, 120.11391173042173 30.197663762430736, 120.11336672867057 30.197701768402226, 120.11285378171898 30.197893399142387, 120.11243059656034 30.198174695207566, 120.11085329478179 30.199645595799836, 120.11048140640378 30.200189338995525, 120.11010951108688 30.200861080248718, 120.10987865480135 30.201552107749183, 120.10995544315259 30.20293448063654, 120.10976291467155 30.204969458013725, 120.10977332562146 30.20503186067383, 120.1097821322705 30.205110261519703, 120.1097636956183 30.205168647554956, 120.10973965022694 30.205221430639504, 120.10967954406752 30.205282992302294, 120.10912820948681 30.2055386632153, 120.10882686909423 30.20602486849732, 120.10874348628181 30.20649199665749, 120.1089292616969 30.207720830084607, 120.10931376660368 30.208924176698186, 120.11023680470478 30.20987185882523, 120.11036497873769 30.210281511433745, 120.11068548566853 30.210640084685352, 120.11205740998636 30.21117212489196, 120.11234589888353 30.211383503668042, 120.11278181917008 30.21194696431271, 120.11294206039744 30.2124014465836, 120.11309583146533 30.21343188954339, 120.11352532614723 30.214264139438388, 120.1137849694664 30.214577905325438, 120.11437794694446 30.21573666505132, 120.11457027192152 30.216066387205203, 120.11541655991084 30.217132564630614, 120.11684010811524 30.21718490531497, 120.11853316393787 30.21644400983357, 120.11921296247566 30.216342231734924, 120.12221439221524 30.217356298049744, 120.1250429022617 30.2188376891387, 120.12653733382098 30.22067613354973, 120.12672973805856 30.221085941373648, 120.12676821063788 30.22125237803278, 120.12671687388973 30.221431505001902, 120.12635755977901 30.222275821153836, 120.1258571480527 30.22290238843352, 120.12385574070589 30.22382165014701, 120.12180315773266 30.224753813073892, 120.11995589812713 30.226236695755592, 120.11777519106518 30.228820138842625, 120.11613983464282 30.2302650652185, 120.11539273625202 30.230946021761337, 120.11531258050812 30.230981156522574, 120.11520357308912 30.230987471071387, 120.11397252033755 30.230480976635352, 120.11355578408552 30.230186295056633, 120.1130877718944 30.229795590581386, 120.11261337443436 30.22923210194791, 120.11240182495663 30.228950378015572, 120.11220949539435 30.228835056686123, 120.11204280207929 30.22882854590687, 120.11103619819694 30.229403852800576, 120.110707628715 30.22949324099766, 120.11068198521822 30.229492425186926, 120.11065313760864 30.22947800841078, 120.11027652943679 30.22918579961674, 120.11010024675832 30.229051303397547, 120.10992718799362 30.22873762323431, 120.10953938757605 30.228302227805084, 120.10727354787255 30.226496333395204, 120.10537648839721 30.22462677322718, 120.10409276321035 30.22360470685451, 120.10406993277141 30.22359149867766, 120.10404429773376 30.223585888851208, 120.10165954697356 30.223409441346714, 120.10073679753413 30.2234091571228, 120.09949770508996 30.223586805377753, 120.09948088548443 30.223588001033004, 120.09946406630552 30.223584797019253, 120.09867218908593 30.22333202596851, 120.09865877436135 30.223329223138645, 120.09864415795047 30.223330219765188, 120.09490849519682 30.223916765972515, 120.09489288066835 30.223918164312533, 120.09487826725446 30.223917562909357, 120.09353469097394 30.223754274044975, 120.09352328154736 30.223751073700086, 120.09351207267203 30.2237436736831, 120.09222391481981 30.22267511752697, 120.09221630970762 30.222665518202486, 120.0922099057861 30.22265311908824, 120.0912942018774 30.220476887540077, 120.09134549079016 30.219900926087597))"
上海市同济医院,121.437529,31.272966,医疗,综合医院,Matched,上海市同济医院,121.42648733832867,31.2684804357839,"POLYGON ((121.42568275319336 31.268540728226217, 121.42568256421906 31.268422177794907, 121.42581514282269 31.2676107773113, 121.42655346934175 31.26774071619794, 121.42821621014876 31.268033374475582, 121.4283649518671 31.268075047814882, 121.4282705642695 31.268407386137785, 121.42822297725841 31.26849688733764, 121.42748788425916 31.268447476088763, 121.42742855846194 31.26876566757506, 121.42738748824786 31.26881009743633, 121.42719420858216 31.26954424723371, 121.42699589645306 31.269510915281725, 121.42695721583851 31.269711982926395, 121.4267182429243 31.269671705630703, 121.4265541829489 31.269703091604793, 121.42595463760966 31.2698927860293, 121.42590618231526 31.2696977097227, 121.42568322919193 31.268799420166246, 121.42568275319336 31.268540728226217))"
广州天河体育中心,113.331575,23.143232,运动健身,体育场馆,Matched,广州市天河体育中心,113.31961950247712,23.14006529498788,"POLYGON ((113.3164345722021 23.137832229647067, 113.31639831509409 23.13665945959413, 113.31641738201158 23.1365533659084, 113.31645989598046 23.136527996565334, 113.31667176012562 23.13652310270523, 113.31810201653435 23.13646154301406, 113.3195535252966 23.13641181857542, 113.32016107355385 23.136380276924076, 113.32231783027136 23.136299688643405, 113.32271022322442 23.136274645525592, 113.32278207301545 23.136316091159443, 113.32278844404433 23.136611162328713, 113.32278362193803 23.13720613675966, 113.322780413868 23.13747803572334, 113.32277015012134 23.139041540432974, 113.32280419932597 23.14051359815851, 113.3228073798955 23.14074710073346, 113.322810524128 23.141636347409495, 113.32279451436088 23.142400880187967, 113.32277149012064 23.1436708306453, 113.32267308866803 23.143736394291373, 113.32255672604879 23.14376860532899, 113.31914045787575 23.143735137653255, 113.31826795608266 23.14368600588769, 113.31765092746532 23.14364568336417, 113.31658372352763 23.14359280421199, 113.31651616571017 23.143535552583025, 113.31645300293434 23.143411018730948, 113.31646253222439 23.142601514521168, 113.31648130109349 23.140804678197796, 113.31643283252944 23.140268278004072, 113.3164345722021 23.137832229647067))"
